RANGE,FRAMECOUNT
-2.7885000000000026,4.0
-2.780700000000003,4.0
-2.7729000000000035,4.0
-2.7573000000000043,4.0
-2.718300000000003,9.0
-2.718300000000003,9.0
-2.7222000000000044,9.0
-2.7261000000000024,9.0
-2.7261000000000024,9.0
-2.7261000000000024,14.0
-2.7261000000000024,14.0
-2.730000000000004,14.0
-2.733900000000002,14.0
-2.730000000000004,14.0
-2.733900000000002,19.0
-2.7261000000000024,19.0
-2.730000000000004,19.0
-2.733900000000002,19.0
-2.733900000000002,19.0
-2.730000000000004,24.0
-2.730000000000004,24.0
-2.730000000000004,24.0
-2.7261000000000024,24.0
-2.730000000000004,24.0
-2.730000000000004,29.0
-2.730000000000004,29.0
-2.730000000000004,29.0
-2.733900000000002,29.0
-2.733900000000002,29.0
-2.730000000000004,34.0
-2.733900000000002,34.0
-2.7378000000000036,34.0
-2.7378000000000036,34.0
-2.7378000000000036,34.0
-2.7378000000000036,39.0
-2.7417000000000016,39.0
-2.7417000000000016,39.0
-2.7417000000000016,39.0
-2.7417000000000016,39.0
-2.745600000000003,44.0
-2.7417000000000016,44.0
-2.745600000000003,44.0
-2.745600000000003,44.0
-2.7417000000000016,44.0
-2.745600000000003,50.0
-2.745600000000003,50.0
-2.7417000000000016,50.0
-2.745600000000003,50.0
-2.745600000000003,50.0
-2.745600000000003,50.0
-2.749500000000001,55.0
-2.745600000000003,55.0
-2.749500000000001,55.0
-2.745600000000003,55.0
-2.7534000000000027,55.0
-2.749500000000001,60.0
-2.749500000000001,60.0
-2.7534000000000027,60.0
-2.7534000000000027,60.0
-2.7534000000000027,60.0
-2.7573000000000043,65.0
-2.7573000000000043,65.0
-2.7573000000000043,65.0
-2.7612000000000023,65.0
-2.7573000000000043,65.0
-2.7573000000000043,70.0
-2.7573000000000043,70.0
-2.7573000000000043,70.0
-2.7612000000000023,70.0
-2.7573000000000043,70.0
-2.7612000000000023,75.0
-2.7612000000000023,75.0
-2.7612000000000023,75.0
-2.7612000000000023,75.0
-2.765100000000004,75.0
-2.7612000000000023,80.0
-2.7612000000000023,80.0
-2.765100000000004,80.0
-2.7612000000000023,80.0
-2.765100000000004,80.0
-2.765100000000004,85.0
-2.7612000000000023,85.0
-2.765100000000004,85.0
-2.7612000000000023,85.0
-2.7612000000000023,85.0
-2.765100000000004,90.0
-2.765100000000004,90.0
-2.765100000000004,90.0
-2.765100000000004,90.0
-2.765100000000004,90.0
-2.7612000000000023,95.0
-2.769000000000002,95.0
-2.7612000000000023,95.0
-2.765100000000004,95.0
-2.765100000000004,95.0
-2.765100000000004,100.0
-2.765100000000004,100.0
-2.7612000000000023,100.0
