RANGE,FRAMECOUNT
3.241900000000001,1.0
3.245799999999999,6.0
3.245799999999999,6.0
3.2497000000000007,6.0
3.245799999999999,6.0
3.2497000000000007,6.0
3.2497000000000007,12.0
3.2535999999999987,12.0
3.2535999999999987,12.0
3.2535999999999987,12.0
3.2497000000000007,12.0
3.2497000000000007,12.0
3.2497000000000007,16.0
3.245799999999999,16.0
3.245799999999999,16.0
3.245799999999999,16.0
3.241900000000001,21.0
3.241900000000001,21.0
3.241900000000001,21.0
3.2379999999999995,21.0
3.2379999999999995,21.0
3.2341000000000015,26.0
3.2341000000000015,26.0
3.2341000000000015,26.0
3.2302,26.0
3.2302,26.0
3.226300000000002,31.0
3.226300000000002,31.0
3.226300000000002,31.0
3.226300000000002,31.0
3.226300000000002,31.0
3.2224000000000004,36.0
3.2224000000000004,36.0
3.2224000000000004,36.0
3.2224000000000004,36.0
3.2224000000000004,36.0
3.218499999999999,41.0
3.218499999999999,41.0
3.218499999999999,41.0
3.218499999999999,41.0
3.214600000000001,41.0
3.218499999999999,46.0
3.214600000000001,46.0
3.214600000000001,46.0
3.210699999999999,46.0
3.214600000000001,46.0
3.214600000000001,51.0
3.210699999999999,51.0
3.210699999999999,51.0
3.214600000000001,51.0
3.214600000000001,51.0
3.210699999999999,57.0
3.210699999999999,57.0
3.210699999999999,57.0
3.210699999999999,57.0
3.210699999999999,57.0
3.210699999999999,57.0
3.210699999999999,62.0
3.210699999999999,62.0
3.206800000000001,62.0
3.210699999999999,62.0
3.206800000000001,62.0
3.206800000000001,67.0
3.206800000000001,67.0
3.206800000000001,67.0
3.206800000000001,67.0
3.206800000000001,67.0
3.206800000000001,72.0
3.210699999999999,72.0
3.206800000000001,72.0
3.206800000000001,72.0
3.206800000000001,72.0
3.210699999999999,77.0
3.206800000000001,77.0
3.206800000000001,77.0
3.210699999999999,77.0
3.206800000000001,77.0
3.206800000000001,82.0
3.206800000000001,82.0
3.206800000000001,82.0
3.206800000000001,82.0
3.206800000000001,82.0
3.210699999999999,87.0
3.206800000000001,87.0
3.206800000000001,87.0
3.206800000000001,87.0
3.2028999999999996,87.0
3.2028999999999996,92.0
3.2028999999999996,92.0
3.2028999999999996,92.0
3.2028999999999996,92.0
3.2028999999999996,92.0
3.2028999999999996,97.0
3.1951,97.0
3.1951,97.0
3.1990000000000016,97.0
3.1951,97.0
3.1951,102.0
3.1951,102.0
3.1951,102.0
3.1911999999999985,102.0
3.1951,102.0
3.1951,107.0
3.1951,107.0
3.1951,107.0
3.1951,107.0
3.1951,107.0
3.1951,112.0
3.1951,112.0
3.1951,112.0
3.1951,112.0
3.1951,112.0
3.1911999999999985,117.0
3.1951,117.0
3.1951,117.0
3.1951,117.0
3.1951,117.0
3.1990000000000016,122.0
3.1990000000000016,122.0
3.2028999999999996,122.0
3.2028999999999996,122.0
3.2028999999999996,122.0
3.2028999999999996,127.0
3.206800000000001,127.0
3.206800000000001,127.0
3.206800000000001,127.0
3.210699999999999,127.0
3.214600000000001,132.0
3.214600000000001,132.0
3.218499999999999,132.0
3.218499999999999,132.0
3.2224000000000004,132.0
3.2224000000000004,137.0
3.226300000000002,137.0
3.226300000000002,137.0
3.2302,137.0
3.2302,137.0
3.2302,142.0
3.2341000000000015,142.0
3.2302,142.0
3.2341000000000015,142.0
3.2341000000000015,142.0
3.2341000000000015,147.0
3.241900000000001,147.0
3.241900000000001,147.0
3.241900000000001,147.0
3.245799999999999,147.0
3.2497000000000007,151.0
3.2535999999999987,151.0
3.2535999999999987,151.0
3.2575000000000003,151.0
3.2575000000000003,157.0
3.261400000000002,157.0
3.261400000000002,157.0
3.261400000000002,157.0
3.2575000000000003,157.0
3.261400000000002,157.0
3.261400000000002,161.0
3.261400000000002,161.0
3.2575000000000003,161.0
3.2575000000000003,161.0
3.2575000000000003,166.0
3.2575000000000003,166.0
3.261400000000002,166.0
3.2575000000000003,166.0
3.2575000000000003,166.0
3.2535999999999987,171.0
3.2575000000000003,171.0
3.2575000000000003,171.0
3.2575000000000003,171.0
3.2575000000000003,171.0
3.2535999999999987,176.0
3.2575000000000003,176.0
3.2575000000000003,176.0
3.2575000000000003,176.0
3.2535999999999987,176.0
3.2535999999999987,181.0
3.2497000000000007,181.0
3.2497000000000007,181.0
3.2497000000000007,181.0
3.245799999999999,181.0
3.245799999999999,186.0
3.245799999999999,186.0
3.241900000000001,186.0
3.241900000000001,186.0
3.241900000000001,186.0
3.2379999999999995,191.0
3.2379999999999995,191.0
3.2379999999999995,191.0
3.2379999999999995,191.0
3.2341000000000015,191.0
3.2379999999999995,196.0
3.2341000000000015,196.0
3.2341000000000015,196.0
3.2302,196.0
3.2341000000000015,196.0
3.2302,201.0
3.2302,201.0
3.2302,201.0
3.226300000000002,201.0
3.226300000000002,201.0
3.226300000000002,206.0
3.226300000000002,206.0
3.226300000000002,206.0
3.218499999999999,206.0
3.2224000000000004,206.0
3.218499999999999,211.0
3.218499999999999,211.0
3.214600000000001,211.0
3.214600000000001,211.0
3.210699999999999,211.0
3.206800000000001,216.0
3.206800000000001,216.0
3.2028999999999996,216.0
3.2028999999999996,216.0
3.2028999999999996,216.0
3.1990000000000016,221.0
3.1951,221.0
3.1911999999999985,221.0
3.1911999999999985,221.0
3.1873000000000005,221.0
3.1873000000000005,226.0
3.183399999999999,226.0
3.179500000000001,226.0
3.179500000000001,226.0
3.1755999999999993,226.0
3.1717000000000013,231.0
3.1717000000000013,231.0
3.1717000000000013,231.0
3.1677999999999997,231.0
3.1639000000000017,231.0
3.1639000000000017,236.0
3.16,236.0
3.16,236.0
3.1560999999999986,236.0
3.1522000000000006,236.0
3.1522000000000006,241.0
3.1522000000000006,241.0
3.1522000000000006,241.0
3.148299999999999,241.0
3.144400000000001,241.0
3.1404999999999994,246.0
3.1404999999999994,246.0
3.1404999999999994,246.0
3.1366000000000014,246.0
3.1366000000000014,246.0
3.1327,251.0
3.128800000000002,251.0
3.128800000000002,251.0
3.1249000000000002,251.0
3.1249000000000002,251.0
3.1249000000000002,256.0
3.1249000000000002,256.0
3.1209999999999987,256.0
3.1171000000000006,256.0
3.113199999999999,256.0
3.113199999999999,261.0
3.113199999999999,261.0
3.109300000000001,261.0
3.1053999999999995,261.0
3.1053999999999995,261.0
3.1015000000000015,265.0
3.0976,265.0
3.0976,265.0
3.0976,265.0
3.0976,270.0
3.093700000000002,270.0
3.093700000000002,270.0
3.0898000000000003,270.0
3.0858999999999988,270.0
3.0858999999999988,275.0
3.0820000000000007,275.0
3.078099999999999,275.0
3.078099999999999,275.0
3.078099999999999,275.0
3.078099999999999,280.0
3.078099999999999,280.0
3.078099999999999,280.0
3.078099999999999,280.0
3.074200000000001,280.0
3.074200000000001,285.0
3.074200000000001,285.0
3.0702999999999996,285.0
3.0664000000000016,285.0
3.0664000000000016,285.0
3.0664000000000016,290.0
3.0664000000000016,290.0
3.0664000000000016,290.0
3.0664000000000016,290.0
3.0664000000000016,290.0
3.0664000000000016,295.0
3.0625,295.0
3.0664000000000016,295.0
3.0625,295.0
3.0585999999999984,295.0
3.0585999999999984,300.0
3.0585999999999984,300.0
3.0585999999999984,300.0
3.0547000000000004,300.0
3.0547000000000004,300.0
3.0547000000000004,305.0
3.050799999999999,305.0
3.050799999999999,305.0
3.050799999999999,305.0
3.050799999999999,305.0
3.050799999999999,310.0
3.050799999999999,310.0
3.046900000000001,310.0
3.046900000000001,310.0
3.0429999999999993,310.0
3.0429999999999993,315.0
3.0429999999999993,315.0
3.0429999999999993,315.0
3.0391000000000012,315.0
3.0391000000000012,315.0
3.0351999999999997,320.0
3.0351999999999997,320.0
