RANGE,FRAMECOUNT
-9.913499999999999,2.0
-9.951999999999998,2.0
-9.913499999999999,7.0
-9.951999999999998,7.0
-9.951999999999998,7.0
-9.951999999999998,7.0
-9.951999999999998,7.0
-9.951999999999998,12.0
-9.913499999999999,12.0
-9.913499999999999,12.0
-9.913499999999999,12.0
-9.951999999999998,12.0
-9.913499999999999,17.0
-9.913499999999999,17.0
-9.913499999999999,17.0
-9.913499999999999,17.0
-9.913499999999999,17.0
-9.913499999999999,22.0
-9.913499999999999,22.0
-9.913499999999999,22.0
-9.913499999999999,22.0
-9.913499999999999,22.0
-9.875,27.0
-9.875,27.0
-9.875,27.0
-9.875,27.0
-9.875,27.0
-9.875,32.0
-9.875,32.0
-9.875,32.0
-9.875,32.0
-9.875,32.0
-9.836500000000001,37.0
-9.836500000000001,37.0
-9.836500000000001,37.0
-9.875,37.0
-9.875,37.0
-9.875,42.0
-9.875,42.0
-9.875,42.0
-9.875,42.0
-9.875,42.0
-9.875,47.0
-9.875,47.0
-9.875,47.0
-9.875,47.0
-9.875,47.0
-9.875,52.0
-9.875,52.0
-9.875,52.0
-9.875,52.0
-9.875,52.0
-9.913499999999999,58.0
-9.913499999999999,58.0
-9.875,58.0
-9.913499999999999,58.0
-9.913499999999999,58.0
-9.913499999999999,58.0
-9.913499999999999,63.0
-9.913499999999999,63.0
-9.913499999999999,63.0
-9.913499999999999,63.0
-9.913499999999999,63.0
-9.913499999999999,68.0
-9.913499999999999,68.0
-9.913499999999999,68.0
-9.913499999999999,68.0
-9.913499999999999,68.0
-9.913499999999999,73.0
-9.913499999999999,73.0
-9.913499999999999,73.0
-9.913499999999999,73.0
-9.913499999999999,73.0
-9.913499999999999,78.0
-9.913499999999999,78.0
-9.913499999999999,78.0
-9.913499999999999,78.0
-9.913499999999999,78.0
-9.913499999999999,83.0
-9.913499999999999,83.0
-9.951999999999998,83.0
-9.951999999999998,83.0
-9.951999999999998,83.0
-9.951999999999998,88.0
-9.913499999999999,88.0
-9.913499999999999,88.0
-9.913499999999999,88.0
-9.913499999999999,88.0
-9.913499999999999,93.0
-9.913499999999999,93.0
-9.913499999999999,93.0
-9.913499999999999,93.0
-9.913499999999999,93.0
-9.913499999999999,98.0
-9.913499999999999,98.0
-9.913499999999999,98.0
-9.913499999999999,98.0
-9.913499999999999,98.0
-9.913499999999999,103.0
-9.913499999999999,103.0
-9.913499999999999,103.0
-9.875,103.0
-9.875,103.0
-9.875,108.0
-9.913499999999999,108.0
-9.913499999999999,108.0
-9.875,108.0
-9.875,108.0
-9.875,113.0
-9.875,113.0
-9.913499999999999,113.0
-9.913499999999999,113.0
-9.875,113.0
-9.875,118.0
-9.913499999999999,118.0
-9.875,118.0
-9.875,118.0
-9.913499999999999,118.0
-9.913499999999999,123.0
-9.913499999999999,123.0
-9.913499999999999,123.0
-9.913499999999999,123.0
-9.913499999999999,123.0
-9.913499999999999,128.0
-9.913499999999999,128.0
-9.913499999999999,128.0
-9.913499999999999,128.0
-9.913499999999999,128.0
-9.913499999999999,133.0
-9.913499999999999,133.0
-9.913499999999999,133.0
-9.913499999999999,133.0
-9.913499999999999,133.0
-9.951999999999998,138.0
-9.913499999999999,138.0
-9.913499999999999,138.0
-9.913499999999999,138.0
-9.951999999999998,138.0
-9.951999999999998,142.0
-9.913499999999999,142.0
-9.951999999999998,142.0
-9.951999999999998,142.0
-9.913499999999999,147.0
-9.951999999999998,147.0
-9.951999999999998,147.0
-9.951999999999998,147.0
-9.951999999999998,147.0
-9.951999999999998,152.0
-9.951999999999998,152.0
-9.951999999999998,152.0
-9.951999999999998,152.0
-9.951999999999998,152.0
-9.951999999999998,157.0
-9.951999999999998,157.0
-9.951999999999998,157.0
-9.951999999999998,157.0
-9.951999999999998,157.0
-9.951999999999998,162.0
-9.951999999999998,162.0
-9.951999999999998,162.0
-9.951999999999998,162.0
-9.951999999999998,162.0
-9.951999999999998,167.0
-9.951999999999998,167.0
-9.951999999999998,167.0
-9.951999999999998,167.0
-9.951999999999998,167.0
-9.951999999999998,172.0
-9.951999999999998,172.0
-9.951999999999998,172.0
-9.951999999999998,172.0
-9.951999999999998,172.0
-9.951999999999998,177.0
-9.951999999999998,177.0
-9.913499999999999,177.0
-9.913499999999999,177.0
-9.951999999999998,177.0
-9.913499999999999,182.0
-9.913499999999999,182.0
-9.913499999999999,182.0
-9.913499999999999,182.0
-9.913499999999999,182.0
-9.875,187.0
-9.875,187.0
-9.875,187.0
-9.875,187.0
-9.875,187.0
-9.875,192.0
-9.875,192.0
-9.875,192.0
-9.913499999999999,192.0
-9.913499999999999,192.0
-9.913499999999999,197.0
-9.875,197.0
-9.875,197.0
-9.875,197.0
-9.875,197.0
-9.875,202.0
-9.875,202.0
-9.836500000000001,202.0
-9.836500000000001,202.0
-9.836500000000001,202.0
-9.836500000000001,207.0
-9.836500000000001,207.0
-9.836500000000001,207.0
-9.836500000000001,207.0
-9.836500000000001,207.0
-9.836500000000001,212.0
-9.836500000000001,212.0
-9.836500000000001,212.0
-9.836500000000001,212.0
-9.836500000000001,212.0
-9.836500000000001,217.0
-9.836500000000001,217.0
-9.836500000000001,217.0
-9.836500000000001,217.0
-9.798000000000002,217.0
-9.836500000000001,222.0
-9.836500000000001,222.0
-9.836500000000001,222.0
-9.798000000000002,222.0
-9.798000000000002,222.0
-9.798000000000002,227.0
-9.798000000000002,227.0
-9.798000000000002,227.0
-9.798000000000002,227.0
-9.798000000000002,227.0
-9.798000000000002,232.0
-9.798000000000002,232.0
-9.798000000000002,232.0
-9.798000000000002,232.0
-9.798000000000002,232.0
-9.798000000000002,237.0
-9.798000000000002,237.0
-9.798000000000002,237.0
-9.798000000000002,237.0
-9.798000000000002,237.0
-9.798000000000002,242.0
-9.798000000000002,242.0
-9.798000000000002,242.0
-9.798000000000002,242.0
-9.798000000000002,242.0
-9.798000000000002,247.0
-9.798000000000002,247.0
-9.798000000000002,247.0
-9.836500000000001,247.0
-9.836500000000001,247.0
-9.836500000000001,252.0
-9.836500000000001,252.0
-9.836500000000001,252.0
-9.836500000000001,252.0
-9.836500000000001,252.0
-9.836500000000001,256.0
-9.836500000000001,256.0
-9.836500000000001,256.0
-9.836500000000001,256.0
-9.836500000000001,261.0
-9.875,261.0
-9.875,261.0
-9.875,261.0
-9.875,261.0
-9.875,266.0
-9.875,266.0
-9.875,266.0
-9.875,266.0
-9.875,266.0
-9.875,271.0
-9.875,271.0
-9.875,271.0
-9.875,271.0
-9.875,271.0
-9.875,276.0
-9.875,276.0
-9.875,276.0
-9.913499999999999,276.0
-9.875,276.0
-9.875,281.0
-9.913499999999999,281.0
-9.875,281.0
-9.913499999999999,281.0
-9.875,281.0
-9.913499999999999,286.0
-9.875,286.0
-9.875,286.0
-9.875,286.0
-9.875,286.0
-9.875,291.0
-9.875,291.0
-9.875,291.0
-9.875,291.0
-9.875,291.0
-9.875,296.0
-9.875,296.0
-9.875,296.0
-9.875,296.0
-9.875,296.0
-9.875,301.0
-9.875,301.0
-9.875,301.0
-9.875,301.0
-9.836500000000001,301.0
-9.875,306.0
-9.836500000000001,306.0
-9.836500000000001,306.0
-9.836500000000001,306.0
-9.836500000000001,306.0
-9.836500000000001,311.0
-9.836500000000001,311.0
-9.836500000000001,311.0
-9.836500000000001,311.0
-9.836500000000001,311.0
-9.836500000000001,316.0
-9.836500000000001,316.0
-9.798000000000002,316.0
-9.836500000000001,316.0
-9.836500000000001,316.0
-9.836500000000001,321.0
-9.836500000000001,321.0
-9.836500000000001,321.0
-9.836500000000001,321.0
-9.836500000000001,321.0
-9.836500000000001,326.0
-9.836500000000001,326.0
-9.836500000000001,326.0
-9.875,326.0
-9.875,326.0
-9.875,331.0
-9.875,331.0
-9.875,331.0
-9.875,331.0
-9.875,331.0
-9.875,336.0
-9.875,336.0
-9.875,336.0
-9.875,336.0
-9.875,336.0
-9.875,341.0
-9.875,341.0
-9.875,341.0
-9.836500000000001,341.0
-9.836500000000001,341.0
-9.875,346.0
-9.836500000000001,346.0
-9.836500000000001,346.0
-9.836500000000001,346.0
-9.836500000000001,346.0
-9.798000000000002,351.0
-9.798000000000002,351.0
-9.836500000000001,351.0
-9.798000000000002,351.0
-9.798000000000002,351.0
-9.798000000000002,356.0
-9.798000000000002,356.0
-9.798000000000002,356.0
-9.798000000000002,356.0
-9.798000000000002,356.0
-9.798000000000002,361.0
-9.798000000000002,361.0
-9.798000000000002,361.0
-9.798000000000002,361.0
-9.798000000000002,361.0
-9.798000000000002,366.0
-9.798000000000002,366.0
-9.798000000000002,366.0
-9.798000000000002,366.0
-9.798000000000002,366.0
-9.798000000000002,371.0
-9.798000000000002,371.0
-9.798000000000002,371.0
-9.798000000000002,371.0
-9.798000000000002,371.0
-9.798000000000002,375.0
-9.798000000000002,375.0
-9.798000000000002,375.0
-9.798000000000002,375.0
-17.613500000000045,376.0
-21.887000000000057,377.0
-26.314500000000066,378.0
-32.97500000000002,379.0
-34.091499999999996,380.0
-39.019499999999994,381.0
-39.404499999999985,382.0
-41.48350000000005,383.0
-44.91000000000008,384.0
-44.87150000000008,385.0
-45.603000000000065,386.0
-47.41250000000002,387.0
-46.33450000000005,388.0
-44.794500000000085,389.0
-43.6395,390.0
-45.988000000000056,391.0
-42.946500000000015,392.0
-44.06299999999999,393.0
-45.603000000000065,394.0
-41.98400000000004,395.0
