RANGE,FRAMECOUNT,,,,RANGE,RANGE
22.1988,160,,,,22.1988,1.5312
22.2105,165,,,,22.2105,1.5273
22.2066,165,,,,22.2066,1.5273
22.2144,165,,,,22.2144,1.5273
22.2144,165,,,,22.2144,1.5234
22.2183,165,,,,22.2183,1.5195
22.2222,170,,,,22.2222,1.5195
22.2261,170,,,,22.2261,1.5156
22.23,170,,,,22.23,1.5156
22.2378,170,,,,22.2378,1.5117
22.2417,170,,,,22.2417,1.5156
22.2495,175,,,,22.2495,1.5117
22.2534,175,,,,22.2534,1.5078
22.2612,175,,,,22.2612,1.5078
22.2651,175,,,,22.2651,1.5078
22.269,175,,,,22.269,1.5039
22.2729,180,,,,22.2729,1.5078
22.2807,180,,,,22.2807,1.5078
22.2885,180,,,,22.2885,1.5078
22.2885,180,,,,22.2885,1.5078
22.2963,180,,,,22.2963,1.5117
22.3041,185,,,,22.3041,1.5078
22.308,185,,,,22.308,1.5117
22.3119,185,,,,22.3119,1.5117
22.3197,185,,,,22.3197,1.5156
22.3236,185,,,,22.3236,1.5156
22.3275,190,,,,22.3275,1.5156
22.3275,190,,,,22.3275,1.5195
22.3353,190,,,,22.3353,1.5195
22.3353,190,,,,22.3353,1.5195
22.3431,190,,,,22.3431,1.5195
22.3431,195,,,,22.3431,1.5234
22.347,195,,,,22.347,1.5195
22.347,195,,,,22.347,1.5195
22.347,195,,,,22.347,1.5195
22.3509,195,,,,22.3509,1.5156
22.3587,200,,,,22.3587,1.5156
22.3626,200,,,,22.3626,1.5117
22.3626,200,,,,22.3626,1.5117
22.3665,200,,,,22.3665,1.5117
22.3665,200,,,,22.3665,1.5156
22.3704,205,,,,22.3704,1.5156
22.3704,205,,,,22.3704,1.5117
22.3665,205,,,,22.3665,1.5156
22.3743,205,,,,22.3743,1.5156
22.3743,205,,,,22.3743,1.5156
22.3743,209,,,,22.3743,1.5156
22.3782,209,,,,22.3782,1.5156
22.3782,209,,,,22.3782,1.5195
22.3782,209,,,,22.3782,1.5195
22.3782,214,,,,22.3782,1.5195
22.3782,214,,,,22.3782,1.5234
22.3782,214,,,,22.3782,1.5234
22.3821,214,,,,22.3821,1.5273
22.386,214,,,,22.386,1.5273
22.386,219,,,,22.386,1.5273
22.386,219,,,,22.386,1.5312
22.3899,219,,,,22.3899,1.5351
22.3899,219,,,,22.3899,1.5312
22.3899,219,,,,22.3899,1.5351
22.3899,224,,,,22.3899,1.5351
22.3938,224,,,,22.3938,1.5351
22.3899,224,,,,22.3899,1.5351
22.3899,224,,,,22.3899,1.5351
22.3899,224,,,,22.3899,1.5351
22.3899,229,,,,22.3899,1.5351
22.3899,229,,,,22.3899,1.5351
22.3899,229,,,,22.3899,1.5351
22.3938,229,,,,22.3938,1.5351
22.3938,229,,,,22.3938,1.5351
22.3938,234,,,,22.3938,1.5351
22.3938,234,,,,22.3938,1.5351
22.4016,234,,,,22.4016,1.539
22.4016,234,,,,22.4016,1.5429
22.3977,234,,,,22.3977,1.5429
22.4016,239,,,,22.4016,1.5429
22.4055,239,,,,22.4055,1.5507
22.4094,239,,,,22.4094,1.5507
22.4133,239,,,,22.4133,1.5507
22.4094,239,,,,22.4094,1.5546
22.4133,244,,,,22.4133,1.5546
22.4133,244,,,,22.4133,1.5546
22.4211,244,,,,22.4211,1.5585
22.4172,244,,,,22.4172,1.5585
22.4172,244,,,,22.4172,1.5585
22.4211,249,,,,22.4211,1.5585
22.4172,249,,,,22.4172,1.5624
22.4211,249,,,,22.4211,1.5585
22.4172,249,,,,22.4172,1.5546
22.4211,249,,,,22.4211,1.5546
22.4211,254,,,,22.4211,1.5546
22.425,254,,,,22.425,1.5546
22.4289,254,,,,22.4289,1.5507
22.4289,254,,,,22.4289,1.5507
22.4328,254,,,,22.4328,1.5546
22.4328,259,,,,22.4328,1.5546
22.4367,259,,,,22.4367,1.5585
22.4367,259,,,,22.4367,1.5585
22.4406,259,,,,22.4406,1.5585
22.4367,259,,,,22.4367,1.5585
22.4367,264,,,,22.4367,1.5585
22.4406,264,,,,22.4406,1.5624
22.4406,264,,,,22.4406,1.5702
22.4406,264,,,,22.4406,1.5702
22.4406,264,,,,22.4406,1.578
22.4406,269,,,,22.4406,1.5741
22.4406,269,,,,22.4406,1.5702
22.4406,269,,,,22.4406,1.5741
22.4445,269,,,,22.4445,1.5702
22.4484,269,,,,22.4484,1.5663
22.4562,274,,,,22.4562,1.5702
22.4601,274,,,,22.4601,1.5624
22.4562,274,,,,22.4562,1.5624
22.464,274,,,,22.464,1.5624
22.4679,274,,,,22.4679,1.5624
22.464,279,,,,22.464,1.5663
22.464,279,,,,22.464,1.5624
22.464,279,,,,22.464,1.5624
22.464,279,,,,22.464,1.5663
22.4679,279,,,,22.4679,1.5585
22.4718,284,,,,22.4718,1.5546
22.4757,284,,,,22.4757,1.5468
22.4718,284,,,,22.4718,1.5429
22.4757,284,,,,22.4757,1.539
22.4796,284,,,,22.4796,1.539
22.4796,289,,,,22.4796,1.5429
22.4874,289,,,,22.4874,1.539
22.4913,289,,,,22.4913,1.539
22.4952,289,,,,22.4952,1.5351
22.4952,289,,,,22.4952,1.5351
22.4952,294,,,,22.4952,1.5351
22.503,294,,,,22.503,1.5312
22.4991,294,,,,22.4991,1.5273
22.503,294,,,,22.503,1.5234
22.5069,294,,,,22.5069,1.5195
22.5108,299,,,,22.5108,1.5195
22.5186,299,,,,22.5186,1.5156
22.5264,299,,,,22.5264,1.5195
22.5264,299,,,,22.5264,1.5156
22.5303,299,,,,22.5303,1.5156
22.5342,304,,,,22.5342,1.5156
22.5342,304,,,,22.5342,1.5195
22.542,304,,,,22.542,1.5156
22.542,304,,,,22.542,1.5117
22.5498,304,,,,22.5498,1.5156
22.5537,309,,,,22.5537,1.5156
22.5576,309,,,,22.5576,1.5117
22.5576,309,,,,22.5576,1.5078
22.5615,309,,,,22.5615,1.5117
22.5654,309,,,,22.5654,1.5039
22.5693,314,,,,22.5693,1.5039
22.5771,314,,,,22.5771,1.5078
22.5771,314,,,,22.5771,1.5039
22.581,314,,,,22.581,1.5
22.5849,314,,,,22.5849,1.5
22.5888,319,,,,22.5888,1.5
22.5849,319,,,,22.5849,1.4961
22.5927,319,,,,22.5927,1.5
22.5927,319,,,,22.5927,1.4961
22.5927,319,,,,22.5927,1.5
22.5966,324,,,,22.5966,1.4961
22.6005,324,,,,22.6005,1.4961
22.6044,324,,,,22.6044,1.4961
22.6044,324,,,,22.6044,1.5
22.6083,324,,,,22.6083,1.5
22.6083,328,,,,22.6083,1.5
22.6083,328,,,,22.6083,1.4961
22.6122,328,,,,22.6122,1.4961
22.6161,328,,,,22.6161,1.4922
22.62,333,,,,22.62,1.4922
22.62,333,,,,22.62,1.4922
22.6278,333,,,,22.6278,1.4883
22.6278,333,,,,22.6278,1.4883
22.6278,333,,,,22.6278,1.4883
22.6317,338,,,,22.6317,1.4844
22.6317,338,,,,22.6317,1.4844
22.6356,338,,,,22.6356,1.4844
22.6356,338,,,,22.6356,1.4844
22.6395,338,,,,22.6395,1.4844
22.6434,343,,,,22.6434,1.4844
22.6395,343,,,,22.6395,1.4844
22.6434,343,,,,22.6434,1.4844
22.6434,343,,,,22.6434,1.4805
22.6434,343,,,,22.6434,1.4844
22.6473,348,,,,22.6473,1.4844
22.6473,348,,,,22.6473,1.4844
22.6434,348,,,,22.6434,1.4883
22.6473,348,,,,22.6473,1.4844
22.6473,348,,,,22.6473,1.4844
22.6473,353,,,,22.6473,1.4883
22.6473,353,,,,22.6473,1.4883
22.6473,353,,,,22.6473,1.4883
22.6473,353,,,,22.6473,1.4844
22.6473,353,,,,22.6473,1.4883
22.6473,358,,,,22.6473,1.4883
22.6473,358,,,,22.6473,1.4844
22.6512,358,,,,22.6512,1.4844
22.6473,358,,,,22.6473,1.4844
22.6473,358,,,,22.6473,1.4844
22.6434,363,,,,22.6434,1.4844
22.6473,363,,,,22.6473,1.4844
22.6434,363,,,,22.6434,1.4844
22.6434,363,,,,22.6434,1.4844
22.6473,363,,,,22.6473,1.4844
22.6473,368,,,,22.6473,1.4844
22.6434,368,,,,22.6434,1.4805
22.6434,368,,,,22.6434,1.4805
22.6395,368,,,,22.6395,1.4805
22.6395,368,,,,22.6395,1.4805
22.6356,373,,,,22.6356,1.4805
22.6395,373,,,,22.6395,1.4805
22.6356,373,,,,22.6356,1.4805
22.6356,373,,,,22.6356,1.4844
22.6356,373,,,,22.6356,1.4844
22.6317,376,,,,22.6317,1.4805
22.6356,376,,,,22.6356,1.4805
22.6317,376,,,,22.6317,1.4844
17.8542,377,,,,17.8542,-2.5638
13.3263,378,,,,13.3263,-8.6829
10.9941,379,,,,10.9941,-9.225
9.3912,380,,,,9.3912,-14.0805
8.3772,381,,,,8.3772,-14.8917
7.1448,382,,,,7.1448,-17.4189
4.8165,383,,,,4.8165,-20.7456
4.9218,384,,,,4.9218,-22.4733
3.2721,385,,,,3.2721,-24.513
4.134,386,,,,4.134,-22.9569
2.6325,387,,,,2.6325,-24.513
1.8525,388,,,,1.8525,-24.0723
1.3416,389,,,,1.3416,-24.8679
3.9702,390,,,,3.9702,-23.4405
1.1154,391,,,,1.1154,-22.641
2.7729,392,,,,2.7729,-22.3446
2.4219,393,,,,2.4219,-23.9904
1.5951,394,,,,1.5951,-24.1737
3.1512,395,,,,3.1512,-21.5763
2.4492,396,,,,2.4492,-23.3547
3.2799,397,,,,3.2799,-23.3391
2.2893,398,,,,2.2893,-23.4522
2.4531,399,,,,2.4531,-21.4437
0.8931,400,,,,0.8931,-24.3063
2.8002,401,,,,2.8002,-24.9108
3.0771,402,,,,3.0771,-22.5045
2.5506,403,,,,2.5506,-22.836
2.1372,404,,,,2.1372,-24.5832
0.429,405,,,,0.429,-23.3625
2.6637,406,,,,2.6637,-24.5715
-0.1599,407,,,,-0.1599,-24.1893
2.4297,408,,,,2.4297,-24.8016
0.117,409,,,,0.117,-25.9833
1.0686,410,,,,1.0686,-24.1464
0.663,411,,,,0.663,-26.0301
1.1193,412,,,,1.1193,-24.5676
0.3042,413,,,,0.3042,-25.3242
1.0959,414,,,,1.0959,-24.9186
-0.2847,415,,,,-0.2847,-25.527
0.3237,416,,,,0.3237,-25.7259
0.7527,417,,,,0.7527,-25.1292
1.5639,418,,,,1.5639,-25.3749
2.0709,419,,,,2.0709,-25.1565
0.5772,420,,,,0.5772,-25.9833
2.3478,421,,,,2.3478,-25.2345
0.9321,422,,,,0.9321,-26.8881
1.2948,423,,,,1.2948,-26.424
-0.975,424,,,,-0.975,-25.7376
2.2113,425,,,,2.2113,-25.2267
1.3533,426,,,,1.3533,-24.2283
1.4274,427,,,,1.4274,-25.1487
0.9438,428,,,,0.9438,-25.6947
2.9094,429,,,,2.9094,-25.4334
2.4375,430,,,,2.4375,-25.3632
2.8119,431,,,,2.8119,-25.2501
2.4609,432,,,,2.4609,-23.0895
2.3205,433,,,,2.3205,-22.797
2.7417,434,,,,2.7417,-23.07
1.092,435,,,,1.092,-24.2595
2.6793,436,,,,2.6793,-23.3391
1.7121,437,,,,1.7121,-24.0957
3.3813,438,,,,3.3813,-24.3687
2.0631,439,,,,2.0631,-23.1636
1.9305,440,,,,1.9305,-24.4428
2.5974,441,,,,2.5974,-22.992
3.2916,442,,,,3.2916,-23.9007
2.8782,443,,,,2.8782,-24.8796
2.4648,444,,,,2.4648,-25.4178
1.4274,445,,,,1.4274,-23.655
1.8798,446,,,,1.8798,-23.8968
1.1427,447,,,,1.1427,-23.7876
2.7768,448,,,,2.7768,-24.0099
2.3283,449,,,,2.3283,-23.0856
2.2932,450,,,,2.2932,-22.8282
2.4648,451,,,,2.4648,-23.8617
2.0943,452,,,,2.0943,-23.6316
2.1372,453,,,,2.1372,-24.1932
1.5288,454,,,,1.5288,-23.6199
2.1489,455,,,,2.1489,-24.3414
1.5366,456,,,,1.5366,-23.3235
3.5685,457,,,,3.5685,-23.0115
2.9952,458,,,,2.9952,-23.1324
4.0053,459,,,,4.0053,-24.084
2.3361,460,,,,2.3361,-25.8702
2.3361,461,,,,2.3361,-23.2923
2.6052,462,,,,2.6052,-22.4148
3.4398,463,,,,3.4398,-22.0482
4.0365,464,,,,4.0365,-23.8344
4.3485,465,,,,4.3485,-24.4662
4.5942,466,,,,4.5942,-23.3664
4.1535,467,,,,4.1535,-23.8188
4.2939,468,,,,4.2939,-24.9654
3.9156,469,,,,3.9156,-24.0216
4.2237,470,,,,4.2237,-24.3882
4.5825,471,,,,4.5825,-24.7548
4.1925,472,,,,4.1925,-25.9092
4.0521,473,,,,4.0521,-24.825
3.3306,474,,,,3.3306,-25.9209
4.0755,475,,,,4.0755,-24.6027
3.3033,476,,,,3.3033,-23.8695
2.7885,477,,,,2.7885,-26.1978
3.4983,478,,,,3.4983,-25.0161
2.9484,479,,,,2.9484,-27.0909
3.2487,480,,,,3.2487,-27.3951
3.4983,481,,,,3.4983,-27.3249
3.3462,482,,,,3.3462,-26.8257
2.1333,483,,,,2.1333,-26.5956
2.964,484,,,,2.964,-26.775
3.0264,485,,,,3.0264,-25.1994
1.3767,486,,,,1.3767,-26.8491
1.8486,487,,,,1.8486,-26.2992
2.0787,488,,,,2.0787,-27.5589
1.8447,489,,,,1.8447,-25.7688
2.9679,490,,,,2.9679,-26.0262
2.4375,491,,,,2.4375,-26.5293
2.262,492,,,,2.262,-26.1003
2.7144,493,,,,2.7144,-26.8569
1.4313,494,,,,1.4313,-25.8039
0.8307,495,,,,0.8307,-26.9856
1.638,496,,,,1.638,-26.6463
0.2964,497,,,,0.2964,-25.5465
0.3549,498,,,,0.3549,-26.6619
0.6981,499,,,,0.6981,-26.8374
0.0975,500,,,,0.0975,-26.0925
-0.1989,501,,,,-0.1989,-27.8319
-0.3198,502,,,,-0.3198,-27.6135
0.1521,503,,,,0.1521,-27.8007
-0.8112,504,,,,-0.8112,-26.8764
-1.4274,505,,,,-1.4274,-27.7305
-0.9087,506,,,,-0.9087,-28.0308
-0.4641,507,,,,-0.4641,-29.0877
-0.7137,508,,,,-0.7137,-28.842
-1.5834,509,,,,-1.5834,-27.945
-0.9438,510,,,,-0.9438,-28.4364
-1.2207,511,,,,-1.2207,-28.2999
-1.248,512,,,,-1.248,-28.5534
-2.0826,513,,,,-2.0826,-27.6954
-1.9773,514,,,,-1.9773,-28.5378
-2.0982,515,,,,-2.0982,-27.5238
